,Song 1970,Artist 1970,Song 1971,Artist 1971,Song 1972,Artist 1972,Song 1973,Artist 1973,Song 1974,Artist 1974,Song 1975,Artist 1975,Song 1976,Artist 1976,Song 1977,Artist 1977,Song 1978,Artist 1978,Song 1979,Artist 1979,Song 1980,Artist 1980,Song 1981,Artist 1981,Song 1982,Artist 1982,Song 1983,Artist 1983,Song 1984,Artist 1984,Song 1985,Artist 1985,Song 1986,Artist 1986,Song 1987,Artist 1987,Song 1988,Artist 1988,Song 1989,Artist 1989,Song 1990,Artist 1990,Song 1991,Artist 1991,Song 1992,Artist 1992,Song 1993,Artist 1993,Song 1994,Artist 1994,Song 1995,Artist 1995,Song 1996,Artist 1996,Song 1997,Artist 1997,Song 1998,Artist 1998,Song 1999,Artist 1999,Song 2000,Artist 2000,Song 2001,Artist 2001,Song 2002,Artist 2002,Song 2003,Artist 2003,Song 2004,Artist 2004,Song 2005,Artist 2005,Song 2006,Artist 2006,Song 2007,Artist 2007,Song 2008,Artist 2008,Song 2009,Artist 2009,Song 2010,Artist 2010,Song 2011,Artist 2011,Song 2012,Artist 2012,Song 2013,Artist 2013,Song 2014,Artist 2014,Song 2015,Artist 2015,Song 2016,Artist 2016,Song 2017,Artist 2017,Song 2018,Artist 2018,Song 2019,Artist 2019
10,Mama Told Me (Not To Come),Three Dog Night,You've Got A Friend,James Taylor,Oh Girl,Chi-Lites,Frankenstein,Edgar Winter Group,Jungle Boogie,Kool & The Gang,Jive Talkin',Bee Gees,Love Hangover,Diana Ross,You Make Me Feel Like Dancing,Leo Sayer,Grease,Frankie Valli,Too Much Heaven,Bee Gees,Little Jeannie,Elton John,Queen Of Hearts,Juice Newton,867-5309/jenny,Tommy Tutone,She Works Hard For The Money,Donna Summer,Let's Hear It For The Boy,Deniece Williams,Can't Fight This Feeling,REO Speedwagon,Secret Lovers,Atlantic Starr,Don't Dream It's Over,Crowded House,One More Try,George Michael,Lost In Your Eyes,Debbie Gibson,Escapade,Janet Jackson,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Be Without You,Mary J. Blige,Don't Matter,Akon,Sexy Can I,Ray J & Yung Berg,You Belong With Me,Taylor Swift,Nothin' On You,B.o.B Featuring Bruno Mars,S&M,Rihanna,Wild Ones,Flo Rida Featuring Sia,Locked Out Of Heaven,Bruno Mars,Timber,Pitbull Featuring Ke$ha,Cheerleader,OMI,Cheap Thrills,Sia Featuring Sean Paul,Say You Won't Let Go,James Arthur,Nice For What,Drake,High Hopes,Panic! At The Disco
11,Everything Is Beautiful,Ray Stevens,Mr. Big Stuff,Jean Knight,Nice To Be With You,Gallery,Little Willy,The Sweet,Midnight At The Oasis,Maria Muldaur,Best Of My Love,Eagles,Get Closer,Seals & Crofts,Margaritaville,Jimmy Buffett,I Go Crazy,Paul Davis,When You're In Love With A Beautiful Woman,Dr. Hook,Ride Like The Wind,Christopher Cross,Rapture,Blondie,Key Largo,Bertie Higgins,Never Gonna Let You Go,Sergio Mendes,Dancing In The Dark,Bruce Springsteen,We Built This City,Starship,Friends And Lovers,Carl Anderson & Gloria Loring,Always,Atlantic Starr,Wishing Well,Terence Trent D'Arby,Don't Wanna Lose You,Gloria Estefan,All I Wanna Do Is Make Love To You,Heart,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Girlfriend,Avril Lavigne,Take A Bow,Rihanna,Dead And Gone,T.I. Featuring Justin Timberlake,I Like It,Enrique Iglesias Featuring Pitbull,Pumped Up Kicks,Foster The People,Set Fire To The Rain,Adele,Ho Hey,The Lumineers,Pompeii,Bastille,Can't Feel My Face,The Weeknd,7 Years,Lukas Graham,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",Lucid Dreams,Juice WRLD,"Thank U, Next",Ariana Grande
12,Make It With You,Bread,Do You Know What I Mean,Lee Michaels,My Ding-A-Ling,Chuck Berry,You Are The Sunshine Of My Life,Stevie Wonder,You Make Me Feel Brand New,The Stylistics,Lovin' You,Minnie Riperton,"More, More, More",Andrea True Connection,Telephone Line,Electric Light Orchestra,You're The One That I Want,John Travolta & Olivia Newton-John,Makin' It,David Naughton,Upside Down,Diana Ross,A Woman Needs Love,Ray Parker Jr. & Raydio,You Should Hear How She Talks About You,Melissa Manchester,Hungry Like The Wolf,Duran Duran,Girls Just Want To Have Fun,Cyndi Lauper,The Power Of Love,Huey Lewis & The News,West End Girls,Pet Shop Boys,Looking For A New Love,Jody Watley,Anything For You/No Te Olvidare,Gloria Estefan & Miami Sound Machine,Heaven,Warrant,Close To You,Maxi Priest,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Over My Head (Cable Car),The Fray,Makes Me Wonder,Maroon 5,Viva La Vida,Coldplay,You Found Me,The Fray,BedRock,Young Money Featuring Lloyd,Last Friday Night (T.G.I.F.),Katy Perry,Sexy And I Know It,LMFAO,Stay,Rihanna Featuring Mikky Ekko,Shake It Off,Taylor Swift,Love Me Like You Do,Ellie Goulding,Needed Me,Rihanna,XO TOUR Llif3,Lil Uzi Vert,Better Now,Post Malone,Truth Hurts,Lizzo
13,Hitchin' A Ride,Vanity Fare,The Night They Drove Old Dixie Down,Joan Baez,Heart Of Gold,Neil Young,Half Breed,Cher,Show And Tell,Al Wilson,Kung Fu Fighting,Carl Douglas,Bohemian Rhapsody,Queen,Whatcha Gonna Do?,Pablo Cruise,Emotion,Samantha Sang,Fire,The Pointer Sisters,Babe,Styx,The Tide Is High,Blondie,Waiting For A Girl Like You,Foreigner,Let's Dance,David Bowie,The Reflex,Duran Duran,Don't You (Forget About Me),Simple Minds,There'll Be Sad Songs (To Make You Cry),Billy Ocean,I Think We're Alone Now,Tiffany,The Flame,Cheap Trick,Girl I'm Gonna Miss You,Milli Vanilli,Black Velvet,Alannah Myles,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Me & U,Cassie,Party Like A Rockstar,Shop Boyz,I Kissed A Girl,Katy Perry,Use Somebody,Kings Of Leon,In My Head,Jason Derulo,Just The Way You Are,Bruno Mars,Some Nights,fun.,Get Lucky,Daft Punk Featuring Pharrell Williams,Am I Wrong,Nico & Vinz,Take Me To Church,Hozier,My House,Flo Rida,Mask Off,Future,Finesse,Bruno Mars & Cardi B,Dancing With A Stranger,Sam Smith & Normani
14,ABC,Jackson 5,What's Going On,Marvin Gaye,"Betcha By Golly, Wow",The Stylistics,That Lady,The Isley Brothers,Rock On,David Essex,Black Water,The Doobie Brothers,Misty Blue,Dorothy Moore,Sir Duke,Stevie Wonder,Lay Down Sally,Eric Clapton,Tragedy,Bee Gees,With You I'm Born Again,Billy Preston & Syreeta,Just The Two Of Us,"Grover Washington, Jr. With Bill Withers",Don't Talk To Strangers,Rick Springfield,Twilight Zone,Golden Earring,Time After Time,Cyndi Lauper,Cherish,Kool & The Gang,Alive And Kicking,Simple Minds,Mony Mony,Billy Idol,"Get Outta My Dreams, Get Into My Car",Billy Ocean,The Look,Roxette,Release Me,Wilson Phillips,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Smack That,Akon Featuring Eminem,Whatever You Like,T.I.,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,Rude Boy,Rihanna,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,Wide Awake,Katy Perry,Royals,Lorde,Turn Down For What,DJ Snake & Lil Jon,Bad Blood,Taylor Swift Featuring Kendrick Lamar,I Took A Pill In Ibiza,Mike Posner,Unforgettable,French Montana Featuring Swae Lee,Boo'd Up,Ella Mai,Senorita,Shawn Mendes & Camila Cabello
15,The Love You Save/I Found That Girl,Jackson 5,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,I'll Take You There,The Staple Singers,We're An American Band,Grand Funk Railroad,Sunshine On My Shoulders,John Denver,Ballroom Blitz,Sweet,Boogie Fever,The Sylvers,Hotel California,Eagles,Miss You,The Rolling Stones,A Little More Love,Olivia Newton-John,Shining Star,The Manhattans,Slow Hand,The Pointer Sisters,The Sweetest Thing,Juice Newton,I Know There's Something Going On,Frida,Jump (for My Love),The Pointer Sisters,St. Elmo's Fire (Man In Motion),John Parr,Never,Heart,At This Moment,Billy Vera & The Beaters,Seasons Change,Expose,Two Hearts,Phil Collins,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,Run It!,Chris Brown,This Is Why I'm Hot,Mims,Disturbia,Rihanna,Blame It,Jamie Foxx Featuring T-Pain,Telephone,Lady Gaga Featuring Beyonce,Raise Your Glass,P!nk,Good Feeling,Flo Rida,I Knew You Were Trouble.,Taylor Swift,The Monster,Eminem Featuring Rihanna,Lean On,Major Lazer & DJ Snake Featuring MO,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,24K Magic,Bruno Mars,New Rules,Dua Lipa,I Don't Care,Ed Sheeran & Justin Bieber
16,Cracklin' Rosie,Neil Diamond,Signs,Five Man Electrical Band,Ben,Michael Jackson,"Right Place, Wrong Time",Dr. John,Hooked On A Feeling,Blue Swede,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,I'd Really Love To See You Tonight,England Dan & John Ford Coley,Got To Give It Up (Pt. 1),Marvin Gaye,Just The Way You Are,Billy Joel,Heart Of Glass,Blondie,Still,Commodores,I Love You,Climax Blues Band,Always On My Mind,Willie Nelson,Electric Avenue,Eddy Grant,Talking In Your Sleep,The Romantics,The Heat Is On,Glenn Frey,Kiss,Prince And The Revolution,The Lady In Red,Chris de Burgh,Is This Love,Whitesnake,Blame It On The Rain,Milli Vanilli,All Around The World,Lisa Stansfield,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,So Sick,Ne-Yo,It's Not Over,Daughtry,Don't Stop The Music,Rihanna,I Know You Want Me (Calle Ocho),Pitbull,Teenage Dream,Katy Perry,Born This Way,Lady Gaga,Whistle,Flo Rida,We Can't Stop,Miley Cyrus,Say Something,A Great Big World & Christina Aguilera,Want To Want Me,Jason Derulo,This Is What You Came For,Calvin Harris Featuring Rihanna,Stay,Zedd & Alessia Cara,Sad!,XXXTENTACION,Eastside,"benny blanco, Halsey & Khalid"
17,Candida,Dawn,She's A Lady,Tom Jones,Slippin' Into Darkness,War,Wildflower,Skylark,Band On The Run,Paul McCartney And Wings,He Don't Love You (Like I Love You),Tony Orlando & Dawn,Love Hurts,Nazareth,Theme From Rocky (gonna Fly Now),Bill Conti,With A Little Luck,Wings,What A Fool Believes,The Doobie Brothers,Sexy Eyes,Dr. Hook,Woman,John Lennon,Shake It Up,The Cars,She Blinded Me With Science,Thomas Dolby,Self Control,Laura Branigan,We Are The World,USA For Africa,Higher Love,Steve Winwood,Didn't We Almost Have It All,Whitney Houston,"Wild, Wild West",The Escape Club,Listen To Your Heart,Roxette,I Wanna Be Rich,Calloway,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,It's Goin' Down,Yung Joc,The Way I Are,Timbaland Featuring Keri Hilson,Pocketful Of Sunshine,Natasha Bedingfield,Live Your Life,T.I. Featuring Rihanna,Just The Way You Are,Bruno Mars,F**kin' Perfect,P!nk,One More Night,Maroon 5,Wrecking Ball,Miley Cyrus,Team,Lorde,Shake It Off,Taylor Swift,Cake By The Ocean,DNCE,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,Never Be The Same,Camila Cabello,Going Bad,Meek Mill Featuring Drake
18,Spirit In The Sky,Norman Greenbaum,Amos Moses,Jerry Reed,A Horse With No Name,America,Superstition,Stevie Wonder,The Most Beautiful Girl,Charlie Rich,At Seventeen,Janis Ian,Get Up And Boogie,Silver Convention,Southern Nights,Glen Campbell,If I Can't Have You,Yvonne Elliman,GOOD TIMES,Chic,Steal Away,Robbie Dupree,Sukiyaki,A Taste Of Honey,Let It Whip,Dazz Band,Africa,Toto,Let's Go Crazy,Prince And The Revolution,Shout,Tears For Fears,Stuck With You,Huey Lewis & The News,I Still Haven't Found What I'm Looking For,U2,Pour Some Sugar On Me,Def Leppard,I'll Be There For You,Bon Jovi,Rub You The Right Way,Johnny Gill,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,SOS,Rihanna,Fergalicious,Fergie,Kiss Kiss,Chris Brown Featuring T-Pain,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,Cooler Than Me,Mike Posner,What's My Name?,Rihanna Featuring Drake,Drive By,Train,Wake Me Up!,Avicii,Let Her Go,Passenger,Where Are U Now,Skrillex & Diplo With Justin Bieber,"Me, Myself & I",G-Eazy x Bebe Rexha,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Love Lies,Khalid & Normani,Shallow,Lady Gaga & Bradley Cooper
19,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers,Superstar,Carpenters,Song Sung Blue,Neil Diamond,The Morning After,Maureen McGovern,Time In A Bottle,Jim Croce,Pick Up The Pieces,Average White Band,Take It To The Limit,Eagles,When I Need You,Leo Sayer,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,Biggest Part Of Me,Ambrosia,The Winner Takes It All,ABBA,We Got The Beat,Go-Go's,Little Red Corvette,Prince,Hold Me Now,Thompson Twins,Part-Time Lover,Stevie Wonder,Holding Back The Years,Simply Red,Notorious,Duran Duran,I'll Always Love You,Taylor Dayne,If You Don't Know Me By Now,Simply Red,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,Crank That (Soulja Boy),Soulja Boy Tell'em,Closer,Ne-Yo,Down,Jay Sean Featuring Lil Wayne,Imma Be,The Black Eyed Peas,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,The Motto,Drake Featuring Lil Wayne,Suit & Tie,Justin Timberlake Featuring JAY Z,Royals,Lorde,Fight Song,Rachel Platten,Ride,twenty one pilots,Starboy,The Weeknd Featuring Daft Punk,No Tears Left To Cry,Ariana Grande,Better,Khalid
20,Ball Of Confusion (That's What The World Is Today),The Temptations,My Sweet Lord/Isn't It A Pity,George Harrison,Popcorn,Hot Butter,Rocky Mountain High,John Denver,ANNIE'S SONG,John Denver,Lady Marmalade,Labelle,Sweet Love,Commodores,Hot Line,The Sylvers,Feels So Good,Chuck Mangione,Knock On Wood,Amii Stewart,This Is It,Kenny Loggins,Medley,Stars On 45,The Other Woman,Ray Parker Jr.,Mr. Roboto,Styx,Joanna,Kool & The Gang,Saving All My Love For You,Whitney Houston,Sledgehammer,Peter Gabriel,Only In My Dreams,Debbie Gibson,Man In The Mirror,Michael Jackson,Like A Prayer,Madonna,If Wishes Came True,Sweet Sensation,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Move Along,The All-American Rejects,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,Bubbly,Colbie Caillat,The Climb,Miley Cyrus,Empire State Of Mind,Jay-Z + Alicia Keys,Down On Me,Jeremih Featuring 50 Cent,Where Have You Been,Rihanna,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,Let It Go,Idina Menzel,679,Fetty Wap Featuring Remy Boyz,Heathens,twenty one pilots,Location,Khalid,Mine,Bazzi,No Guidance,Chris Brown Featuring Drake
21,All Right Now,Free,Put Your Hand In The Hand,Ocean,Everybody Plays The Fool,The Main Ingredient,Stuck In The Middle With You,Stealers Wheel,Let Me Be There,Olivia Newton-John,Why Can't We Be Friends?,War,Right Back Where We Started From,Maxine Nightingale,Car Wash,Rose Royce,Love Is Like Oxygen,Sweet,Lead Me On,Maxine Nightingale,Let's Get Serious,Jermaine Jackson,Love On The Rocks,Neil Diamond,Turn Your Love Around,George Benson,You Are,Lionel Richie,I Just Called To Say I Love You,Stevie Wonder,Heaven,Bryan Adams,Sara,Starship,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,Shake Your Love,Debbie Gibson,I'll Be Loving You (Forever),New Kids On The Block,(Can't Live Without Your) Love And Affection,Nelson,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,London Bridge,Fergie,What Goes Around...Comes Around,Justin Timberlake,Touch My Body,Mariah Carey,Best I Ever Had,Drake,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,How To Love,Lil Wayne,Everybody Talks,Neon Trees,Holy Grail,Jay Z Featuring Justin Timberlake,Wake Me Up!,Avicii,Lips Are Movin,Meghan Trainor,Pillowtalk,Zayn,Attention,Charlie Puth,Thunder,Imagine Dragons,Girls Like You,Maroon 5 Featuring Cardi B
22,I Want You Back,Jackson 5,For All We Know,Carpenters,Precious And Few,Climax,Shambala,Three Dog Night,Sundown,Gordon Lightfoot,Love Won't Let Me Wait,Major Harris,Love Rollercoaster,Ohio Players,Fly Like An Eagle,The Steve Miller Band,It's A Heartache,Bonnie Tyler,Don't Cry Out Loud,Melissa Manchester,Sailing,Christopher Cross,Every Woman In The World,Air Supply,Sweet Dreams,Air Supply,Puttin' On The Ritz,Taco,Somebody's Watching Me,Rockwell,Everything She Wants,Wham!,Human,The Human League,The Next Time I Fall,Peter Cetera With Amy Grant,Hold On To The Nights,Richard Marx,How Can I Fall?,Breathe,Love Will Lead You Back,Taylor Dayne,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,My Life Would Suck Without You,Kelly Clarkson,Billionaire,Travie McCoy Featuring Bruno Mars,Someone Like You,Adele,Take Care,Drake Featuring Rihanna,Scream & Shout,will.i.am & Britney Spears,Demons,Imagine Dragons,Worth It,Fifth Harmony Featuring Kid Ink,Stitches,Shawn Mendes,There's Nothing Holdin' Me Back,Shawn Mendes,Look Alive,BlocBoy JB Featuring Drake,Sweet But Psycho,Ava Max
23,"Julie, Do Ya Love Me",Bobby Sherman,If You Could Read My Mind,Gordon Lightfoot,Nights In White Satin,The Moody Blues,Love Train,The O'Jays,Rock Me Gently,Andy Kim,Boogie On Reggae Woman,Stevie Wonder,You Should Be Dancing,Bee Gees,Don't Give Up On Us,David Soul,Baker Street,Gerry Rafferty,The Logical Song,Supertramp,Longer,Dan Fogelberg,The One That You Love,Air Supply,Only The Lonely,The Motels,Sexual Healing,Marvin Gaye,Break My Stride,Matthew Wilder,Cool It Now,New Edition,I Can't Wait,Nu Shooz,Lean On Me,Club Nouveau,Shattered Dreams,Johnny Hates Jazz,Baby Don't Forget My Number,Milli Vanilli,Don't Wanna Fall In Love,Jane Child,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,How To Save A Life,The Fray,So What,P!nk,Halo,Beyonce,Not Afraid,Eminem,Good Life,OneRepublic,Titanium,David Guetta Featuring Sia,Clarity,Zedd Featuring Foxes,Story Of My Life,One Direction,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,Hotline Bling,Drake,Bodak Yellow (Money Moves),Cardi B,Delicate,Taylor Swift,Suge,DaBaby
